x,g_lower,g_upper,g_median,up_lower,up_upper,up_median,dp_lower,dp_upper,dp_median,sp_lower,sp_upper,sp_median,um_lower,um_upper,um_median,dm_lower,dm_upper,dm_median,sm_lower,sm_upper,sm_median
3.16228E-08,-0.030986542,0.026085137,-0.005977404,-0.00280725,0.003331821,0.000612986,-0.002815963,0.003326272,0.000610888,-0.002807592,0.003327753,0.000615853,-6.45393E-06,-2.24596E-07,-3.04807E-06,-9.60545E-06,1.93566E-06,-3.97111E-06,9.12262E-06,1.79765E-05,1.34202E-05
3.67838E-08,-0.030624602,0.025694196,-0.005925336,-0.002841257,0.003383037,0.00062049,-0.002850969,0.003376822,0.000618113,-0.0028438,0.003378563,0.00062368,-7.19672E-06,-2.52526E-07,-3.40283E-06,-1.07027E-05,2.14824E-06,-4.39368E-06,1.01151E-05,2.00222E-05,1.49565E-05
4.27871E-08,-0.031105215,0.026002543,-0.006034303,-0.002875649,0.003435497,0.000628048,-0.002886476,0.003428536,0.000625355,-0.002880571,0.003427714,0.000631599,-8.0246E-06,-2.9454E-07,-3.80515E-06,-1.19201E-05,2.37437E-06,-4.90006E-06,1.1214E-05,2.22998E-05,1.66304E-05
4.97702E-08,-0.031546275,0.026314251,-0.006147115,-0.002830544,0.003395913,0.000618205,-0.002842512,0.003388172,0.00061517,-0.00283833,0.003377155,0.000622121,-8.8845E-06,-3.22487E-07,-4.21171E-06,-1.31159E-05,2.59674E-06,-5.3977E-06,1.23359E-05,2.45833E-05,1.83588E-05
5.7893E-08,-0.031970193,0.026629369,-0.006263977,-0.002864752,0.003449634,0.000625637,-0.002878095,0.003438121,0.000622198,-0.002875261,0.003420763,0.000629995,-9.92289E-06,-3.52643E-07,-4.70581E-06,-1.46043E-05,2.94654E-06,-5.97571E-06,1.37613E-05,2.7327E-05,2.04283E-05
6.73415E-08,-0.032402296,0.026947953,-0.006385105,-0.002899352,0.003500059,0.000633105,-0.002914226,0.003484252,0.000629207,-0.00291279,0.003464984,0.000637953,-1.10887E-05,-3.81135E-07,-5.25755E-06,-1.63135E-05,3.3593E-06,-6.59269E-06,1.52479E-05,3.03745E-05,2.27295E-05
7.8332E-08,-0.031951292,0.026520786,-0.006341733,-0.002934349,0.003548896,0.000640601,-0.002950932,0.003531208,0.000636183,-0.002949718,0.003509821,0.000645995,-1.24138E-05,-4.11E-07,-5.87358E-06,-1.82119E-05,3.82869E-06,-7.27147E-06,1.68876E-05,3.37591E-05,2.52882E-05
9.11163E-08,-0.032389233,0.026837497,-0.006469148,-0.002969751,0.003598808,0.000648118,-0.002988237,0.003579013,0.000643109,-0.002986821,0.003555277,0.000654118,-1.3887E-05,-4.42097E-07,-6.56131E-06,-2.02868E-05,4.36235E-06,-8.07205E-06,1.87624E-05,3.76196E-05,2.81329E-05
1.05987E-07,-0.032836294,0.027157786,-0.006601444,-0.002923047,0.003551184,0.000637581,-0.002943481,0.003529199,0.000631932,-0.002946669,0.003503109,0.000644196,-1.5318E-05,-4.66427E-07,-7.26975E-06,-2.23537E-05,4.94786E-06,-8.88447E-06,2.06758E-05,4.14494E-05,3.10453E-05
1.23285E-07,-0.033292896,0.027503959,-0.006702466,-0.002958283,0.003602091,0.000644887,-0.002981063,0.003577483,0.000638481,-0.002985723,0.003548537,0.000652244,-1.70942E-05,-4.9842E-07,-8.1195E-06,-2.48491E-05,5.53649E-06,-9.86839E-06,2.29884E-05,4.60792E-05,3.45576E-05
1.43405E-07,-0.032845758,0.027120991,-0.006588327,-0.002993937,0.003654219,0.000652182,-0.003019332,0.003626675,0.000644918,-0.00302546,0.003594566,0.000660363,-1.90868E-05,-5.30682E-07,-9.06775E-06,-2.77834E-05,6.07916E-06,-1.09605E-05,2.55574E-05,5.12215E-05,3.84509E-05
